id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
91,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
92,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
93,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
94,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
95,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
96,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
97,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,243.84,243.84,False,False,False,False,False,5,5,Partial Shade
98,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
99,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Full Sun
100,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
101,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
